"","ERR5236650_f_Aligned.sortedByCoord.out.tsv","ERR5236654_f_Aligned.sortedByCoord.out.tsv","ERR5236653_f_Aligned.sortedByCoord.out.tsv","ERR5236624_f_Aligned.sortedByCoord.out.tsv","ERR5236633_f_Aligned.sortedByCoord.out.tsv","ERR5236639_f_Aligned.sortedByCoord.out.tsv","ERR5236618_f_Aligned.sortedByCoord.out.tsv","ERR5236622_m_Aligned.sortedByCoord.out.tsv","ERR5236635_m_Aligned.sortedByCoord.out.tsv","ERR5236655_m_Aligned.sortedByCoord.out.tsv","ERR5236616_m_Aligned.sortedByCoord.out.tsv","ERR5236625_m_Aligned.sortedByCoord.out.tsv","ERR5236641_m_Aligned.sortedByCoord.out.tsv","ERR5236631_m_Aligned.sortedByCoord.out.tsv","ERR5236648_m_Aligned.sortedByCoord.out.tsv","ERR5236642_m_Aligned.sortedByCoord.out.tsv","ERR5236652_m_Aligned.sortedByCoord.out.tsv"
"HSD17B13",12,13,7,6,26,12,6,6,5,5,7,16,8,8,2,31,10
"HSD17B14",873,397,814,626,871,558,687,1365,1146,357,502,335,396,865,530,1814,790
"HSD17B1P1",105,122,109,149,68,106,8,7,12,76,85,165,96,133,114,112,87
"HSD17B2",509,184,131,140,454,395,141,25,217,72,100,108,189,56,163,28,91
"HSD17B3",0,2,0,1,1,1,0,0,2,0,1,0,2,0,0,2,0
"HSD17B3-AS1",0,1,3,1,2,1,0,0,0,1,2,0,0,0,2,1,1
"HSD17B4",3039,2668,2313,3057,2638,2476,907,363,729,1691,2145,2490,2189,2215,2279,3028,1625
"HSD17B6",51,44,36,69,62,42,14,45,20,42,45,71,31,87,41,68,31
"HSD17B7",717,330,476,551,498,355,262,273,429,287,288,407,329,437,303,504,243
"HSD17B7P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSD17B7P2",132,123,34,134,147,74,101,149,95,69,82,122,100,107,131,178,163
"HSD17B8",732,361,298,609,650,250,756,365,437,392,451,276,305,340,337,256,590
"HSD3B1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSD3B2",0,3,0,0,0,1,0,1,0,0,2,1,0,1,1,1,1
"HSD3B7",149,60,49,176,214,70,154,155,134,52,51,107,46,183,39,102,62
"HSD3BP1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"HSD3BP2",0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0
"HSD3BP3",0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0
"HSD3BP4",1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0
"HSD3BP5",0,4,0,3,1,5,0,0,0,3,2,4,5,3,3,2,1
"HSD52",9,13,22,13,5,10,4,4,3,11,5,16,14,8,20,25,8
"HSDL1",3363,2559,3381,3105,3077,2363,2402,2198,2752,2196,1968,2208,2272,3397,1898,2340,2256
"HSDL2",722,730,690,632,442,418,287,143,257,519,496,390,648,456,594,791,551
"HSF1",3960,2456,2613,3679,3714,2639,1583,1097,1673,1867,2110,2421,1962,3573,2004,2888,3346
"HSF2",1691,1176,2935,1330,1512,1509,489,145,432,914,1059,976,1343,1746,1028,1535,1612
"HSF2BP",26,32,25,19,9,23,2,2,10,21,16,11,39,24,48,20,34
"HSF4",2191,1214,2044,2423,2278,1811,1416,2541,1540,816,1236,1848,1268,2080,1350,4244,1655
"HSF5",6,6,15,8,9,8,2,2,0,2,11,5,6,3,10,5,11
"HSFX1",6,12,4,5,2,4,0,0,0,6,2,0,6,0,10,11,4
"HSFX2",3,0,1,3,2,3,0,0,0,0,1,6,0,4,0,0,0
"HSFX3",4,5,1,7,2,1,1,6,5,4,2,1,1,1,4,1,6
"HSFX4",0,0,0,0,2,1,0,0,3,0,7,1,1,0,16,7,4
"HSFY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSFY1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSFY2",0,0,0,0,0,0,0,1,0,0,1,1,1,0,3,0,1
"HSFY3P",0,0,0,0,0,0,0,0,4,5,14,17,7,7,12,18,13
"HSFY4P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSFY5P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSFY6P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSFY7P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSFY8P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSH2D",1,1,1,2,3,1,0,3,2,0,3,2,0,1,2,7,2
"HSP90AA1",136851,79648,76676,82163,96959,64589,41181,21809,39954,69582,47430,93403,73531,87003,52323,64832,57973
"HSP90AA2P",53,49,29,29,22,28,9,7,12,50,20,38,31,27,10,25,28
"HSP90AA4P",1,0,0,2,2,0,0,0,2,0,0,0,1,1,0,1,1
"HSP90AA5P",5,4,1,1,6,5,2,6,2,2,4,6,1,3,0,2,0
"HSP90AA6P",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"HSP90AB1",28015,19418,20336,29962,26709,17251,7998,9144,7501,13709,15594,43710,12430,26459,15341,29697,16176
"HSP90AB2P",1,2,4,4,3,3,3,0,0,2,2,6,1,2,3,7,1
"HSP90AB3P",23,26,19,12,5,7,0,0,1,7,10,12,8,10,4,9,14
"HSP90AB4P",2,8,1,8,8,1,1,10,9,1,6,9,2,7,1,5,2
"HSP90AB6P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSP90AB7P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSP90B1",19124,9049,5872,12335,14455,8307,10072,5926,8164,7609,6621,13686,8502,10764,6206,11516,8976
"HSP90B2P",94,87,30,78,124,74,41,8,35,71,60,39,61,39,50,34,51
"HSP90B3P",2,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0
"HSPA12A",3255,3424,3527,4662,2738,2574,1234,2534,1300,2669,3017,4942,2263,3143,3514,2862,1656
"HSPA12B",153,104,75,153,133,185,78,254,152,105,137,85,94,146,226,185,103
"HSPA13",848,1259,841,825,678,733,348,383,410,1072,918,973,1027,637,1222,1971,942
"HSPA14",1346,1275,777,1304,931,803,603,271,586,1078,965,868,827,988,972,810,971
"HSPA1A",10826,5055,3506,1807,3687,1332,5054,1933,1146,976,783,7024,2988,6057,545,7688,2389
"HSPA1B",10340,4753,2607,2041,3675,1316,5751,2653,1444,680,711,8893,3323,5060,490,2842,905
"HSPA1L",398,199,121,238,232,182,146,63,85,111,179,141,122,284,112,102,101
"HSPA2",160,187,99,264,166,189,45,49,36,142,161,124,177,231,157,257,126
"HSPA4",11180,8460,5867,8184,7265,6197,5047,2412,3527,7218,5151,4493,6858,7401,4984,3967,5067
"HSPA4L",2394,2733,2955,2151,1644,1525,521,308,436,1970,1597,2633,2614,1709,2775,2084,1608
"HSPA5",14200,7612,7233,9472,9857,6497,5469,4097,5744,5822,5826,15101,5877,7730,5360,13373,8849
"HSPA6",397,50,679,63,111,42,48,11,25,4,11,322,142,138,87,5021,140
"HSPA7",24,15,55,51,37,9,3,6,6,6,13,83,26,19,18,371,16
"HSPA8",63986,38096,22922,59773,65781,31898,28786,22912,22227,25053,28864,53071,18857,47603,23633,17149,19328
"HSPA8P1",2,8,2,1,5,1,0,0,2,1,3,6,3,1,0,0,5
"HSPA8P11",21,9,4,18,15,13,1,1,0,9,9,19,15,9,7,11,10
"HSPA8P13",0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0
"HSPA8P14",10,11,4,11,5,5,4,1,5,9,6,4,13,2,15,9,7
"HSPA8P15",5,8,4,1,1,10,0,0,2,6,5,6,10,5,19,8,3
"HSPA8P16",1,0,0,1,2,1,1,0,1,2,0,0,1,2,0,0,0
"HSPA8P17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPA8P18",3,0,1,6,2,0,2,1,6,2,2,1,4,3,4,2,3
"HSPA8P19",0,2,1,2,0,1,0,0,0,2,0,0,0,0,0,1,1
"HSPA8P20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPA8P3",0,3,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0
"HSPA8P4",3,5,0,0,1,0,1,0,2,2,3,2,1,0,4,5,1
"HSPA8P5",4,2,0,4,3,2,0,1,1,1,0,4,1,2,1,0,1
"HSPA8P6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPA8P7",2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"HSPA8P8",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPA8P9",0,0,1,1,0,0,1,2,2,1,2,1,0,0,1,0,2
"HSPA9",7694,7161,6699,7859,6277,5081,2543,1997,3129,5034,6472,6663,4896,5711,8083,11342,8291
"HSPA9P1",1,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"HSPB1",5758,1321,2320,2232,4891,1354,3051,3579,3523,660,1194,5541,1624,4749,732,5091,1512
"HSPB11",518,420,417,595,517,385,397,355,484,277,420,417,314,469,402,530,504
"HSPB1P1",4,4,7,7,5,3,3,1,2,0,3,6,4,9,1,5,2
"HSPB1P2",9,2,7,7,15,6,13,14,15,5,6,6,9,13,6,11,9
"HSPB2",5,3,3,6,3,3,1,2,4,0,3,2,2,7,3,3,1
"HSPB2-C11orf52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPB3",40,11,15,45,25,19,12,14,28,22,25,13,9,56,1,17,22
"HSPB6",607,310,326,606,525,301,510,292,580,228,491,526,215,376,360,269,568
"HSPB7",443,506,1556,652,443,337,241,434,289,246,538,499,526,892,388,1984,330
"HSPB8",2253,1522,2482,2882,3343,2230,1090,1221,1281,1153,2060,2469,1476,3458,1573,2993,2009
"HSPB9",4,9,4,11,11,15,6,30,12,6,6,18,6,16,13,12,5
"HSPBAP1",896,612,457,930,1022,737,744,219,554,457,627,570,552,648,492,477,681
"HSPBP1",2232,922,649,2162,2033,883,2092,2376,2206,908,940,976,632,1489,668,596,1079
"HSPC324",1,0,0,2,2,4,1,16,3,2,0,1,0,9,0,3,3
"HSPD1",5705,4275,3888,5455,4999,3248,1394,1603,1671,3048,3311,5670,2765,4594,3316,5214,3352
"HSPD1P1",22,17,13,11,12,13,0,3,0,8,3,3,7,4,2,6,7
"HSPD1P10",1,12,2,1,1,1,0,1,1,7,3,5,3,1,5,0,2
"HSPD1P11",5,1,13,0,3,2,2,1,1,0,2,3,2,0,7,8,3
"HSPD1P12",1,0,3,0,2,0,1,3,2,0,3,1,0,0,2,0,1
"HSPD1P14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPD1P15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPD1P16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPD1P18",0,4,0,0,0,1,0,0,0,1,1,2,2,0,4,1,2
"HSPD1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPD1P21",1,0,0,0,3,1,0,0,0,1,1,1,1,2,1,0,0
"HSPD1P3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"HSPD1P4",42,17,16,25,14,14,10,0,8,44,22,18,24,7,18,5,35
"HSPD1P5",1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
"HSPD1P6",27,3,2,23,13,0,8,3,9,2,20,14,14,14,29,11,8
"HSPD1P7",0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
"HSPD1P8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPD1P9",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPE1",392,171,192,331,336,137,248,335,310,116,142,346,169,330,90,356,168
"HSPE1-MOB4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPE1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPE1P10",0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0
"HSPE1P11",2,2,1,2,2,2,0,1,3,1,2,2,1,0,1,2,3
"HSPE1P12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPE1P13",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"HSPE1P14",0,3,2,3,1,1,0,0,1,0,1,1,0,1,0,0,1
"HSPE1P16",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPE1P18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPE1P19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPE1P2",1,5,3,3,0,0,1,0,1,4,6,1,0,1,5,3,3
"HSPE1P20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPE1P21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPE1P22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPE1P23",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"HSPE1P24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPE1P25",0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1
"HSPE1P26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"HSPE1P27",0,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0
"HSPE1P28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HSPE1P3",8,7,7,10,9,4,6,2,4,2,6,5,20,2,16,6,12
"HSPE1P4",0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
"HSPE1P5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"HSPE1P6",0,0,0,2,1,0,0,1,1,0,1,0,0,1,0,0,0
"HSPE1P7",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
"HSPE1P8",1,2,0,1,1,2,1,1,1,1,0,1,2,0,1,3,2
"HSPE1P9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPG2",118,166,170,264,77,301,20,14,16,109,160,197,268,113,394,775,242
"HSPH1",2503,1635,1622,2623,2248,1412,596,828,535,1733,1245,5083,1113,2573,1736,4602,1092
"HTATIP2",67,48,54,135,124,35,58,115,19,27,52,152,19,153,35,105,28
"HTATSF1",5418,4027,2339,4760,4558,2891,1993,710,1559,3350,3586,2962,2580,3335,3086,2911,3487
"HTATSF1P1",1,2,0,0,0,0,0,0,1,3,0,2,2,0,0,0,0
"HTATSF1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTD2",0,2,3,1,2,4,0,0,0,2,1,1,4,3,7,6,0
"HTN1",0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
"HTN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTR1A",1,7,7,2,0,1,0,0,0,1,2,2,7,0,2,2,3
"HTR1B",9,33,41,38,20,10,3,5,1,34,14,74,37,19,64,43,14
"HTR1D",1,0,0,4,0,3,3,0,2,0,1,1,2,0,0,3,1
"HTR1DP1",0,3,2,0,1,2,2,1,0,0,0,1,1,1,1,1,0
"HTR1E",11,27,19,18,15,9,14,6,6,10,15,7,26,19,12,31,12
"HTR1F",58,63,101,16,50,22,8,3,21,52,69,39,96,6,148,98,34
"HTR2A",35,37,41,41,34,23,19,7,11,27,24,35,40,9,41,32,14
"HTR2A-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"HTR2B",2,6,7,3,9,1,1,2,0,2,2,0,2,10,4,5,5
"HTR2C",27,42,38,31,20,22,3,6,9,34,46,20,57,26,43,29,19
"HTR3A",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3
"HTR3B",0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0
"HTR3C",0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,0
"HTR3D",0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0
"HTR3E",2,6,0,1,0,4,2,1,4,5,0,1,0,2,3,6,0
"HTR3E-AS1",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"HTR4",57,64,78,31,16,49,12,1,15,34,25,14,45,34,75,35,50
"HTR5A",85,243,261,113,74,174,15,14,30,91,86,226,141,196,84,301,93
"HTR5A-AS1",24,102,110,44,40,92,7,13,11,28,26,137,47,84,39,175,54
"HTR5BP",3,6,2,2,3,2,1,0,2,4,1,4,3,2,8,2,2
"HTR6",8,16,12,8,7,4,0,0,3,3,11,13,8,4,8,2,7
"HTR7",9,11,7,5,8,6,3,4,0,7,8,7,7,5,7,5,4
"HTR7P1",44,60,29,65,42,28,13,25,18,37,59,54,41,28,56,32,49
"HTRA1",15664,9496,6387,11390,12178,9346,8781,4268,8802,6196,6955,4478,6769,11264,6374,5965,10535
"HTRA2",761,460,331,882,694,387,211,117,210,410,455,443,369,591,368,397,492
"HTRA3",18,6,7,27,21,14,12,27,11,10,10,21,6,18,8,24,13
"HTRA4",2,0,0,0,5,2,0,0,0,0,1,4,1,0,1,2,1
"HTT",4800,3835,4404,4677,3940,3275,2673,2492,2945,3143,3192,3131,4322,3381,5192,4163,3678
"HTT-AS",3,0,0,0,1,0,0,0,0,0,2,1,1,1,0,0,0
"HUNK",490,760,604,883,706,509,173,148,217,509,778,786,547,512,696,548,563
"HUNK-AS1",1,0,0,2,0,1,0,0,0,1,0,2,0,1,0,1,0
"HUS1",263,298,245,339,244,180,98,93,92,292,188,230,318,186,366,338,193
"HUS1B",34,16,15,27,31,13,14,3,4,9,6,10,7,13,1,5,3
"HUWE1",8554,8121,7877,9524,6956,6158,4112,3695,4034,6106,6543,7467,8861,6260,10804,7576,6511
"HVCN1",156,78,73,125,114,94,88,30,68,65,115,113,69,84,75,91,95
"HYAL1",776,328,147,276,246,190,261,109,268,134,225,146,198,219,269,152,196
"HYAL2",430,247,145,551,528,246,273,80,184,140,248,155,181,331,312,379,280
"HYAL3",89,109,63,227,147,75,40,88,57,61,78,197,53,166,50,108,57
"HYAL4",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"HYAL6P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HYDIN",686,646,606,493,366,384,286,86,194,364,415,226,491,352,481,308,325
"HYDIN2",163,193,266,148,92,113,22,39,56,137,178,168,286,114,342,225,209
"HYI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HYI-AS1",24,16,10,25,24,19,17,7,10,16,19,17,13,9,11,15,11
"HYKK",116,93,71,174,134,68,68,82,88,78,114,109,77,114,97,127,92
"HYLS1",222,201,104,194,156,113,80,54,74,156,135,98,103,180,114,111,137
"HYMAI",4,2,3,1,2,1,0,0,3,1,4,5,1,2,7,3,2
"HYOU1",3624,3027,2445,3347,2323,2359,645,225,491,2335,2275,3654,2507,2027,2498,4000,2609
"HYPK",304,284,395,313,189,339,43,23,44,291,402,263,310,174,353,187,228
"HYPM",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"IAH1",747,536,472,722,682,420,303,274,269,386,401,554,416,594,452,620,392
"IAPP",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"IARS",3302,2968,2331,3309,2315,1658,951,701,796,2436,2378,2855,2554,1943,2966,3778,2250
"IARS2",2405,2129,1695,1907,1662,1480,642,348,583,1437,1328,1601,1385,1671,1479,2273,1497
"IARS2P1",0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"IBA57",356,370,402,395,282,302,172,169,312,381,260,247,348,245,499,384,304
"IBA57-DT",129,51,117,125,130,49,106,87,127,33,79,69,40,93,69,92,54
"IBSP",1,3,1,1,3,0,0,0,1,5,0,1,0,1,2,19,2
"IBTK",1802,1808,1505,1756,1472,1174,734,550,903,1571,1557,1284,1725,1170,1809,1797,1339
"ICA1",246,239,257,446,301,155,167,302,144,180,371,428,139,256,227,268,216
"ICA1L",1522,1624,1694,1341,1130,1131,515,351,671,1394,1496,1210,1515,915,1830,1501,1563
"ICAM1",63,391,2220,64,301,229,17,13,6,17,73,569,211,679,240,3120,331
"ICAM2",43,17,29,58,73,51,21,12,19,6,31,48,15,48,21,59,68
"ICAM3",12,4,4,9,12,14,2,2,1,5,11,11,6,7,1,4,8
"ICAM4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ICAM5",22,38,49,24,25,31,8,7,8,33,40,30,23,38,21,45,38
"ICE1",1304,1589,1146,1461,1121,1059,383,219,447,1223,1214,1170,1335,912,1888,1576,1208
"ICE2",1057,955,743,994,822,659,426,203,387,780,762,820,839,628,970,725,733
"ICE2P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ICE2P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ICK",1738,2192,1058,1484,1242,1157,798,289,521,1738,1026,966,1972,1349,1745,1002,1048
"ICMT",6835,3740,3125,4850,4024,3097,2369,898,2208,3017,3120,2595,3445,5237,2724,2157,2537
"ICOS",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"ICOSLG",3,6,0,16,7,1,2,0,0,8,0,14,4,4,2,24,9
"ID1",332,204,77,319,388,312,303,407,257,84,397,270,157,253,166,698,264
"ID2",1352,2219,1744,1498,2368,3009,468,829,1019,951,4820,3215,1781,1219,2213,5508,2383
"ID2-AS1",15,21,23,29,25,13,17,32,36,9,26,26,32,20,51,43,20
"ID3",1544,1404,286,864,1388,1083,525,740,1391,235,2870,1481,942,864,1073,1514,2689
"ID4",1504,1345,942,1959,1591,1848,487,653,636,1143,3018,1684,1821,1119,1269,2425,1047
"IDE",1938,2172,1824,1474,1673,1202,876,480,844,2057,1026,1024,2254,1456,2036,1171,1461
"IDH1",1162,1669,1537,1173,770,900,406,301,357,752,711,731,1002,1324,910,1774,645
"IDH1-AS1",17,3,13,25,20,6,21,10,41,6,6,5,7,18,8,13,6
"IDH2",618,451,359,585,460,340,239,305,400,271,354,312,348,405,309,450,300
"IDH2-DT",0,1,1,0,0,0,0,1,0,2,0,1,1,2,0,2,1
"IDH3A",782,1177,996,731,407,672,33,48,38,797,675,706,1000,458,897,848,649
"IDH3B",5340,3421,2443,5481,4761,2805,3214,3167,4048,2561,3103,3251,2100,4222,2653,2738,3629
"IDH3G",3942,3017,2645,3675,3389,2127,2539,3046,2712,1728,2319,2140,1522,2794,1994,2176,3029
"IDI1",2493,2027,1901,3061,2285,1287,1248,2191,3579,1538,3997,2615,1146,2745,3400,2741,2834
"IDI2",1,5,3,1,3,2,0,2,0,3,1,1,2,2,12,2,1
"IDI2-AS1",37,22,17,28,30,22,9,3,3,31,25,29,16,31,36,22,29
"IDNK",323,222,153,326,302,168,207,226,333,185,363,207,177,200,269,321,415
"IDO1",61,0,6,36,61,30,2,1,5,37,13,49,12,19,4,23,10
"IDO2",1,0,0,1,1,4,0,2,1,3,1,1,1,2,0,2,1
"IDS",6437,7583,9117,8761,5509,5485,1978,2550,2578,5450,7274,9741,6542,6057,8724,10910,6563
"IDSP1",13,1,10,17,29,13,22,3,12,4,4,8,7,19,2,7,6
"IDUA",717,476,842,904,615,538,346,452,506,462,520,595,531,550,678,685,767
"IER2",1257,741,662,941,1225,558,1174,4584,7112,329,3285,1069,545,1003,794,897,1149
"IER3",74,83,124,69,174,220,16,19,11,32,93,475,157,423,330,2569,301
"IER3-AS1",7,4,2,3,1,4,2,1,3,1,2,2,2,4,2,5,4
"IER3IP1",1198,742,448,1040,1056,602,699,423,691,642,758,659,582,895,577,551,760
"IER5",318,215,130,267,284,135,89,48,68,211,141,161,197,286,116,157,120
"IER5L",38,111,246,40,95,86,8,34,21,17,27,186,38,215,50,517,236
"IFFO1",2061,1578,1305,2820,2204,1412,1095,961,1070,1588,1550,1563,1226,1953,1424,1336,1700
"IFFO2",416,369,588,685,514,667,211,285,475,340,1006,747,378,605,661,964,793
"IFI16",216,366,684,268,370,357,115,33,71,154,293,599,235,533,437,856,276
"IFI27",1029,347,217,1011,1164,581,642,639,849,216,358,459,257,683,245,346,363
"IFI27L1",1193,532,567,1287,1109,647,920,971,1120,447,636,590,619,1098,499,603,713
"IFI27L2",2743,1037,938,1773,3019,1230,3159,3945,4691,717,1031,920,785,2896,679,1039,1336
"IFI30",3,1,1,4,6,0,0,2,1,1,1,2,1,1,2,17,6
"IFI35",144,93,48,146,235,67,134,142,163,69,98,80,53,92,72,115,90
"IFI44",55,44,24,84,85,50,26,33,24,57,74,61,31,49,40,81,51
"IFI44L",72,58,48,144,220,63,84,76,60,79,155,129,60,57,75,108,42
"IFI6",853,432,422,1220,2204,486,1217,1523,1788,377,753,946,324,887,348,805,669
"IFIH1",108,131,59,169,167,150,43,24,53,99,133,144,89,137,133,181,88
"IFIT1",587,862,467,847,914,440,261,225,242,576,887,857,355,544,587,601,416
"IFIT1B",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1
"IFIT1P1",1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"IFIT2",81,83,37,103,89,49,16,15,20,86,125,77,50,48,82,105,44
"IFIT3",162,211,117,233,304,164,75,114,69,128,218,219,86,254,170,315,98
"IFIT5",296,441,372,430,361,341,161,136,104,352,401,438,257,355,313,510,328
"IFIT6P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"IFITM1",205,149,142,216,353,268,73,13,37,26,100,424,141,417,153,493,212
"IFITM10",321,258,262,530,418,253,276,439,325,211,353,465,216,421,254,332,539
"IFITM2",1572,662,1785,1042,1235,1254,524,228,390,147,550,1044,621,2355,1605,3179,1421
"IFITM3",2092,3007,4671,1945,6827,3678,2117,804,2679,420,1443,3777,1307,6230,3515,10017,5574
"IFITM4P",3,4,1,10,3,7,3,17,5,0,1,1,1,2,3,5,0
"IFITM5",0,2,0,0,0,3,1,0,1,0,0,0,0,1,1,0,4
"IFITM8P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IFITM9P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IFNA1",0,3,1,0,6,3,0,0,0,1,3,1,3,5,1,4,0
"IFNA10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IFNA11P",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"IFNA12P",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"IFNA13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IFNA14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IFNA16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IFNA17",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"IFNA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IFNA20P",2,7,2,0,2,1,0,0,0,3,0,0,5,1,4,4,1
"IFNA21",1,2,2,1,2,0,0,0,0,0,1,3,3,1,3,1,1
"IFNA22P",0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0
"IFNA4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IFNA5",0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,2
"IFNA6",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"IFNA7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"IFNA8",1,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0
"IFNAR1",1706,1952,1421,1689,1250,1168,811,666,874,1445,1216,1388,1667,1107,1830,1895,1218
"IFNAR2",23,18,22,17,16,14,19,36,33,6,13,21,7,26,11,21,8
