"","ERR5236650_f_Aligned.sortedByCoord.out.tsv","ERR5236654_f_Aligned.sortedByCoord.out.tsv","ERR5236653_f_Aligned.sortedByCoord.out.tsv","ERR5236624_f_Aligned.sortedByCoord.out.tsv","ERR5236633_f_Aligned.sortedByCoord.out.tsv","ERR5236639_f_Aligned.sortedByCoord.out.tsv","ERR5236618_f_Aligned.sortedByCoord.out.tsv","ERR5236622_m_Aligned.sortedByCoord.out.tsv","ERR5236635_m_Aligned.sortedByCoord.out.tsv","ERR5236655_m_Aligned.sortedByCoord.out.tsv","ERR5236616_m_Aligned.sortedByCoord.out.tsv","ERR5236625_m_Aligned.sortedByCoord.out.tsv","ERR5236641_m_Aligned.sortedByCoord.out.tsv","ERR5236631_m_Aligned.sortedByCoord.out.tsv","ERR5236648_m_Aligned.sortedByCoord.out.tsv","ERR5236642_m_Aligned.sortedByCoord.out.tsv","ERR5236652_m_Aligned.sortedByCoord.out.tsv"
"PNMA3",1044,856,707,1511,1315,445,754,1616,714,798,1045,1348,594,1071,824,871,1009
"PNMA5",18,16,29,14,22,16,3,8,6,9,11,6,16,12,14,23,10
"PNMA6A",524,387,474,732,823,256,498,2111,800,329,382,545,220,779,399,507,453
"PNMA6B",30,35,42,106,0,26,7,23,21,0,1,89,0,87,0,0,1
"PNMA6E",0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"PNMA6F",58,45,16,44,40,20,20,12,15,15,21,12,12,19,29,23,23
"PNMA8A",3249,3293,2853,3764,2672,2148,977,1392,1427,2628,2985,3430,2172,2440,2764,2534,2343
"PNMA8B",956,729,513,1304,1159,540,729,1647,1080,562,664,728,375,661,389,358,505
"PNMA8C",257,278,187,408,258,199,91,115,112,182,283,276,203,212,212,233,169
"PNMT",31,20,24,56,27,18,61,36,27,5,10,11,9,61,16,9,20
"PNN",5589,5677,5158,6662,5051,4957,1877,902,1754,5032,6004,5251,5624,4451,6245,5572,6608
"PNO1",1018,734,544,745,752,372,496,158,457,649,430,306,560,751,450,444,489
"PNOC",0,0,0,0,4,2,1,0,1,0,0,0,0,1,0,1,0
"PNP",1058,628,390,904,676,646,407,149,534,528,676,897,399,563,525,648,831
"PNPLA1",4,6,2,6,4,11,2,0,4,1,4,5,8,10,2,8,6
"PNPLA2",2086,1498,1609,2802,2699,1639,1773,2375,2121,1147,1420,1874,1037,2499,1376,2110,2393
"PNPLA3",232,395,365,214,117,268,81,36,88,291,259,165,731,118,687,325,261
"PNPLA4",1341,995,966,1001,981,644,514,221,284,446,534,476,417,454,477,416,510
"PNPLA4P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PNPLA5",16,13,8,7,9,5,2,4,3,12,1,8,6,10,2,15,9
"PNPLA6",5093,2871,2605,5164,4654,3697,3004,4754,4036,2335,2650,2925,2466,4910,2610,2701,2966
"PNPLA7",1866,1821,2292,1593,1864,1871,1252,2662,2463,931,2267,1594,1440,2258,1843,3200,2435
"PNPLA8",1179,1399,1396,1371,948,878,373,296,383,1041,996,1227,954,1051,1199,1637,1226
"PNPO",327,244,234,393,289,235,218,312,279,178,246,210,177,256,222,250,212
"PNPT1",1517,1121,1159,1470,1412,1381,512,284,599,1132,1195,1708,1167,1339,1333,1286,1002
"PNPT1P1",2,3,1,0,1,1,1,0,0,0,1,0,1,1,0,2,1
"PNPT1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PNRC1",4083,3254,4270,3947,3260,4035,1483,567,1255,2486,2541,3366,2355,5188,2414,5257,3622
"PNRC2",2679,2355,1621,2460,1670,1460,935,606,894,1730,1575,1900,1738,2080,1605,2294,2010
"PNRC2P1",1,0,2,1,0,2,0,0,0,3,0,4,3,1,1,3,1
"POC1A",33,41,23,40,35,18,19,39,31,24,17,30,19,36,23,58,26
"POC1B",656,590,524,539,500,452,235,100,314,442,488,400,623,351,660,622,682
"POC1B-AS1",338,248,230,249,216,193,152,71,164,177,205,205,250,242,281,151,188
"POC1B-GALNT4",6,4,3,8,11,5,7,1,6,4,1,7,7,5,12,3,4
"POC5",1312,1138,660,1339,962,816,525,193,531,961,804,542,865,905,987,740,889
"PODN",89,43,120,134,192,102,109,69,27,26,340,137,354,154,129,164,70
"PODNL1",745,591,452,1027,884,433,586,732,1400,407,815,640,317,744,799,853,600
"PODXL",18066,20746,24508,13697,11380,14405,4952,872,4708,15379,11138,6973,19997,16844,19570,16058,16910
"PODXL2",4961,2809,2643,5425,5089,2412,2575,4303,2985,2381,2654,3423,2131,4689,1967,1890,2589
"POF1B",1,2,2,1,0,3,0,0,0,2,2,2,0,0,0,0,0
"POFUT1",719,685,418,759,563,482,235,156,294,664,574,460,578,442,657,718,599
"POFUT2",1710,1329,1294,1417,791,1351,378,157,381,1174,1060,1026,1604,815,1568,1679,1491
"POGK",3248,3014,2325,3354,2301,2413,1021,575,834,2221,2352,2614,2749,2983,2522,2603,2236
"POGLUT1",406,397,325,452,382,333,185,173,225,388,378,373,336,326,488,383,329
"POGZ",5504,6414,6584,7031,5023,5567,1770,1163,2129,5258,5733,6423,6480,4700,7808,8052,5977
"POLA1",631,523,479,581,560,467,256,91,209,370,505,463,493,385,544,539,428
"POLA2",209,124,142,238,172,102,191,201,306,92,131,79,98,149,119,175,148
"POLB",664,538,398,644,719,395,363,288,392,337,482,395,321,621,375,596,482
"POLD1",949,602,461,910,661,660,242,101,225,465,457,469,549,776,546,564,574
"POLD2",4580,2545,2135,3765,3855,2059,3292,2912,3576,1874,2189,1980,1673,3179,1785,2097,2480
"POLD2P1",2,0,0,0,2,0,1,0,0,0,0,1,1,1,1,0,0
"POLD3",776,758,448,814,497,498,343,108,257,579,460,401,582,471,538,781,533
"POLD4",231,113,115,256,183,110,119,104,139,65,112,108,114,214,109,161,113
